,fecha,likes,nota_id,nota_url,respuestas,texto,usuario,es_respuesta
55052,22:24 17/10/2018,5.0,713,https://www.lanacion.com.ar/2182688-mendoza-inadi-se-pronuncio-favor-joven-musulmana,1,"@pepardo2000 El inadi es un rejunte de nazis, debe ser eliminado.",Lavite,True
55053,00:24 18/10/2018,,713,https://www.lanacion.com.ar/2182688-mendoza-inadi-se-pronuncio-favor-joven-musulmana,0,@Lavite @pepardo2000 Veo que estás muy empapado en temas ideógicos ,Fuerteventura,True
55054,22:58 17/10/2018,1.0,713,https://www.lanacion.com.ar/2182688-mendoza-inadi-se-pronuncio-favor-joven-musulmana,3,"@pepardo2000 Es discriminacion, lisa y llana.",GharDell,True
55207,09:04 19/10/2018,12.0,717,https://www.lanacion.com.ar/2183071-una-derrota-olimpica-futsal-argentino-no-entendio,3,"Porque no aprenden del rugby, un deporte de bestias jugado por caballeros, en cambio el futbol es un deporte más delicado jugado y alentado por bestias.",enriquefrias,False
55259,23:33 18/10/2018,12.0,717,https://www.lanacion.com.ar/2183071-una-derrota-olimpica-futsal-argentino-no-entendio,0,"Tambien es culpa del cuerpo tecnico.
Ellos.son los que deben dar el ejemplo.
Si a pibes de entre 14 y 18 años no los educas con principios de honor, honestidad y caballerosidad y sobre todo HUMILDAD en el deporte, no esperes milagros.
Despues tenemos a los bestias que hay en las primeras divisiones de futbol.
Todos fanfarrones llenos de $ que buscan encamarse con el gato de turno.",andresmazzu,False
56562,15:14 18/10/2018,3.0,741,https://www.lanacion.com.ar/2182912-como-sera-recibimiento-pablo-moyano-ezeiza,0,"El ""SALVAJE"" terminará preso. el juez será apartado de la causa y el recibimiento de Pablito se convertirá en una de las grandes farsas de la historia del peronismo gremialista. Por otra parte, Hugo Moyano también irá preso por corrupto y asesino. Padre e hijo no se sacan diferencias .Son dos verdaderas bbestias en todo el sentido de la palabra. ",baci67,False
56661,08:50 19/10/2018,13.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,0,"Porque atacaron la policia? Son bestias, se matan entre si por 10 $, basta de planes a animales! Si son extranjeros deportenlo y argentinos en cana y no pagarles mas planes, basta Vidal de pagar planes a estas bestias!",silviavesiro,False
56997,22:50 18/10/2018,2.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,0,@DAMON11 Mas cimarrones que gente ,nesfer24,True
57027,22:38 18/10/2018,4.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,0,@laperorata reflejo de pardo limítrofe alimentado a planes sociales.,nnotengo,True
57037,22:34 18/10/2018,4.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,0,"El ""cantri"" de los cimarrones tipo Milagro Sala ",nesfer24,False
57122,21:31 18/10/2018,6.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,0,"Y a estos cimarrones abrigaba Zaffaroni, su ku lo daba para todo ",nesfer24,False
57218,20:49 18/10/2018,1.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,11,"@JamesJohnJoyce ¿Cuántos foristas son marrones?

¿Entendés que solo le hablás a blancos?

Esa es la tragedia argentina. Blancos de izquierda que le hablan a los demás blancos de los marrones que no sirven para nada...",Fela_Kuti,True
57220,20:51 18/10/2018,1.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,0,"@JamesJohnJoyce @Fela_Kuti El problema es que ignorás la inimputabilidad de los marrones, y que están al acecho para depredar a los blancos...",Fela_Kuti,True
57240,20:44 18/10/2018,1.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,0,"@jstark @estevita Hoy en día no significa mucho.

Hay millones de descendientes de marrones fronterizos...",Fela_Kuti,True
57251,20:45 18/10/2018,,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,0,"@emilia_mitri @ventanaamarilla Los marrones son inimputables, fauna.",Fela_Kuti,True
57293,20:34 18/10/2018,2.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,1,"¿Habrá algún otro país del mundo donde haya tanta gente obtusa como Argentina, donde creen realmente que todos somos iguales, y que con un poco más de ""ayuda social"" los marrones se convertirán en ciudadanos cartesianos, con ansias de estudiar, acumular capital y avanzar socialmente?",Fela_Kuti,False
57314,20:25 18/10/2018,1.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,9,"En LN+, hay una cheta progre, explicando que los marrones delinquen, holgazanean y se drogan por que tienen angustia existencial",estevita,False
57382,20:11 18/10/2018,1.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,0,"Estos marrones, están ansiosos por aplicar la nueva didáctica en Matemática ",estevita,False
57418,20:01 18/10/2018,,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,0,"@ventanaamarilla Hay pocos hab./km2, los blancos y los indios / pardos pueden vivir sin socializar...",Fela_Kuti,True
57453,19:53 18/10/2018,1.0,746,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,0,@francisconacion Tenemos que juntar guita y pagar a un Rambo para combatir a los cimarrones ,nesfer24,True
