,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
56163,True,17:24 19/10/2018,,756,1.0,@Sebastian1976 20 palos verdes para el gato son el equivalente a una moneda extinta de 50 centavos de pesos para mi.,https://www.lanacion.com.ar/2183320-federici-uif-el-pais-estuvo-gobernado-organizacion,elcoso,Ignacio Federico,Economía,"Federici, de la UIF: ""El país estuvo gobernado por una organización criminal destinada a lucrar""",0.3017988,0.24497272,116,96
12767,False,21:51 30/09/2018,7.0,201,0.0,Ahora se entoiende por qué hace rato somos la Republiqueta Bananera de Peronia.,https://www.lanacion.com.ar/2177171-docentes-hicieron-fiesta-escuela-moreno-cerrada-explosion,laut7838,,Política,Docentes hicieron una fiesta en una escuela de Moreno cerrada desde la explosión,0.19491953,0.24443112,79,67
33543,False,22:09 09/10/2018,1.0,471,1.0,Me mata la cantidad de personas que ponen las manos en el fuego por Rosenkrantz... si hasta hace 10 minutos nadie lo conocía.... Globerto fanatico?,https://www.lanacion.com.ar/2180135-lorenzetti-acuso-rosenkrantz-generar-clima-tension-temor,gargamelx,,Política,"Lorenzetti le contestó a Rosenkrantz: habló de ""mediocridad"" y de generar un ""clima de tensión y temor""",0.27763143,0.24353498,147,123
16114,True,14:09 01/10/2018,3.0,223,0.0,"@JamesJohnJoyce @sergiogrino si ya porota permitió la base china, puede permitirse cualquier cosa, total los ""hermanos de la patria grande"" ya la agrandaron hasta asia oriental.",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,ieroslav,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.23761265,0.23971626,177,152
48483,True,21:39 16/10/2018,,678,3.0,"@DAMON11 Ya te diste cuenta de que el gato va de salida, globerto...",https://www.lanacion.com.ar/2182331-luis-carzoglio-no-me-van-correr-aprietes,AlanBiqqeNotDead,,Política,"El juez que rechazó detener a Moyano aclaró: ""No me van a correr con aprietes""",0.13755359,0.23924154,68,56
23683,False,21:45 05/10/2018,1.0,337,0.0,Éste debe ser kernerista...,https://www.lanacion.com.ar/2178963-martin-migoya-hagamos-educacion-sea-mas-parecida,bmedrano1,Julia D'Arrisso,Economía,"Martín Migoya: ""Hagamos que la educación sea más parecida a los recreos y a la vida real""",0.13226676,0.23834683,27,24
64031,False,14:40 23/10/2018,1.0,874,1.0,"Al gato no le impide dormir la gran hiper-inflación,,,solo le impide dormir si boca juega frente a River,,,Dedícate al fulvo fatiga !!!!!!!!!!!!!!!! ",https://www.lanacion.com.ar/2184432-como-gobierno-logro-bajar-dolar-y-que,jbritos6,Esteban Lafuente,Economía,Cómo logró el Gobierno bajar el dólar y cuáles son los costos de su plan,0.19808927,0.23687640000000001,149,127
64891,False,10:57 24/10/2018,,889,0.0,El Gato esta con diarrea,https://www.lanacion.com.ar/2184466-con-mas-concesiones-al-pj-oficialismo-avanza,eduardojmartinez,Laura Serra,Política,"Con más concesiones al PJ, el oficialismo avanza con el dictamen de la ley de presupuesto",0.06316564,0.23686092,24,20
24301,True,18:03 05/10/2018,,355,0.0,@felix_cavagna ¿¿¿y  con porota que se afano medio pbi que hacemos .,https://www.lanacion.com.ar/2178931-aida-ayala-pedire-suspension-mis-fueros-se,deprovincia,,Política,"Ayala renunciará a sus fueros, al confirmar la Justicia el procesamiento",0.15817682,0.23618615,68,56
56293,True,17:05 19/10/2018,,756,0.0,@wsoidier @elcoso Con el gato nadie necesita candidato. Hasta el diariero compite.,https://www.lanacion.com.ar/2183320-federici-uif-el-pais-estuvo-gobernado-organizacion,elcoso,Ignacio Federico,Economía,"Federici, de la UIF: ""El país estuvo gobernado por una organización criminal destinada a lucrar""",0.15568423,0.23587427,82,71
8409,True,04:34 29/09/2018,,140,0.0,Si te invito a que prestes atención a la estrepitosa caida del salario y poder adquisitivo durante el desgobierno del gato y sus secuaces,https://www.lanacion.com.ar/2176737-en-cumbre-partidaria-cambiemos-hizo-autocritica-empezo,chucho_pereyro,Mariano Obarrio,Política,"Con una tibia autocrítica, Cambiemos buscó motivarse con vistas a 2019",0.17961076,0.23565815,137,114
