,cantidad,keyword,toxicity
219,1,Kim Jong-un,0.28423203838888894
218,1,Corea del Norte,0.28423203838888894
217,1,Crisis con Corea del Norte,0.28423203838888894
215,1,Río Negro,0.21459426975480775
214,1,La Pampa,0.21459426975480775
211,1,Entrevista exclusiva,0.018485248
163,1,Premier League,0.074864741
160,1,El Calafate,0.27616160885714286
253,1,Toni Kroos,0.07077940975
67,1,José Mourinho,0.19863188
117,1,Alfredo Leuco,0.13626862
116,1,Margarita Barrientos,0.13626862
115,1,Ciudad de Santiago del Estero,0.13626862
69,1,Gio Simeone,0.19863188
113,1,Lizy Tagliani,0.13626862
112,1,Ana Rosenfeld,0.13626862
70,1,Nicolás Otamendi,0.19863188
107,1,Asamblea de la ONU,0.013303791999999998
71,1,Mauro Icardi,0.19863188
104,1,Franco Vázquez,0.0250223205
103,1,Sevilla Club de Fútbol,0.0250223205
98,1,Mundo Boca,0.23174686112500004
73,1,Angel Correa,0.19863188
74,1,Gerónimo Rulli,0.19863188
93,1,Aprender 2017,0.24307191
92,1,Aprender 2016,0.24307191
91,1,Pisa,0.24307191
89,1,Iglesia,0.3031007236111111
88,1,Mendoza,0.3031007236111111
87,1,Caso Próvolo,0.3031007236111111
86,1,Paro nacional,0.20957257985245897
84,1,alcohol,0.2056625579269841
83,1,Cambios en el Banco Central,0.4389322909714287
68,1,Bayern Munich,0.19863188
66,1,Manchester United,0.19863188
159,1,Río Gallegos,0.27616160885714286
65,1,Diego Simeone,0.19863188
46,1,Mel Gibson,0.86867005
47,1,Al Pacino,0.06632255579999999
155,1,Luis Naidenoff,0.2623355346583519
48,1,Leonardo DiCaprio,0.06632255579999999
152,1,Alfredo Cornejo,0.2623355346583519
49,1,Lucila Polak,0.06632255579999999
50,1,Camila Morrone,0.06632255579999999
148,1,José Cano,0.2623355346583519
51,1,Florencia Peña,0.27561698250000005
52,1,Elizabeth Vernaci,0.27561698250000005
141,1,Unicef,0.2518813730534349
140,1,Barrios de Pie,0.2518813730534349
137,1,Miguel Braun,0.15673909422222224
136,1,Ministerio de Trabajo,0.15673909422222224
135,1,Las trabas a las importaciones,0.15673909422222224
132,1,Nacional de Uruguay,0.16156921488888887
131,1,Deporte con historias,0.0690570835
129,1,Barrabravas,0.21860816961111115
128,1,Corrientes,0.370030965
126,1,Legislatura Porteña,0.15542302768
125,1,Ciudad de Buenos Aires,0.15542302768
63,1,Enzo Pérez,0.3064640244285714
122,1,José Ottavis,0.22736315470149265
251,1,Javier Pinola,0.24415586253866667
254,1,CSKA Moscú,0.07077940975
402,1,Historias para conocer,0.21049182230612248
368,1,Nicaragua,0.3025541715931298
362,1,Ellerstina,0.08718929087499999
361,1,Adolfo Cambiaso,0.08718929087499999
360,1,La Dolfina,0.08718929087499999
359,1,Abierto de Tortugas,0.08718929087499999
358,1,Cristian Pavón,0.13603893993181818
16,1,Marcos Díaz,0.16761828217647057
356,1,Paolo Rocca,0.29616355108823533
355,1,Techint,0.29616355108823533
354,1,Silvia Lospennato,0.373416756
353,1,Alejandro Finocchiaro,0.373416756
352,1,Medios,0.19649091
351,1,Clemente Cancela,0.40892452
78,1,Club Atlético Lanús,0.265821036
348,1,Thomas Bach,0.07321445174999999
347,1,Leeds United,0.1502670678571429
346,1,Marcelo Bielsa,0.1502670678571429
345,1,Deportivo Alavés,0.17725443185714287
344,1,Fabián Mazzei,0.17763463999999998
343,1,Araceli González,0.17763463999999998
340,1,Casamiento de famosos,0.0949988505
339,1,María Eugenia Suárez,0.0949988505
338,1,Benjamín Vicuña,0.0949988505
337,1,Reino Unido,0.21790878846153847
363,1,Básquet,0.05852502
369,1,Selección de Venezuela,0.3025541715931298
335,1,Islas Galápagos,0.20159842799999997
370,1,Andrés Manuel López Obrador,0.3025541715931298
401,1,Delfina Pignatiello,0.026667818
400,1,Fernando De Andreis,0.27700971532727287
398,1,Florencia Kirchner,0.26240504385207974
394,1,Rodrigo Bueno,0.08409367
393,1,Ramiro Bueno,0.08409367
392,1,Rumania,0.48421326
391,1,Periodismo,0.18179518
389,1,Facebook,0.18133704
388,1,Guillermo Marijuan,0.2455189475588234
387,1,Aumentan la luz y el gas,0.2304945491721313
386,1,Mohamed Salah,0.15418423861000002
384,1,Balón de Oro,0.15418423861000002
383,1,Taekwondo,0.28173048928571437
382,1,UFC,0.5221355325
381,1,Peregrinación a Luján,0.2700449172553192
380,1,Justicia,0.15238961299999998
13,1,Agustín Rossi,0.16761828217647057
376,1,Jairo,0.3037898401333334
375,1,Marcela Kloosterboer,0.3037898401333334
374,1,Gastón Gaudio,0.3037898401333334
373,1,Violeta Urtizberea,0.3037898401333334
372,1,Angela Torres,0.41671303333333337
371,1,Dilma Rousseff,0.23238107500000002
336,1,Ecuador,0.20159842799999997
333,1,Islas Malvinas,0.22839479121999998
255,1,Julen Lopetegui,0.07077940975
294,1,UAI Urquiza,0.28042378766666665
292,1,Primera B,0.28042378766666665
289,1,Jorge Capitanich,0.2524285953153847
288,1,Villa Gobernador Gálvez,0.18088819475
287,1,Rosario,0.18088819475
284,1,PAMI,0.32266635
283,1,Frente para la Victoria,0.28207804200000003
279,1,Economía de bolsillo,0.12069389745
278,1,Ernesto Valverde,0.18195930266666668
277,1,El fenómeno Messi,0.18195930266666668
276,1,Mariano Echeverría,0.263159895
275,1,Club Atlético Tigre,0.263159895
274,1,Premio Nobel,0.09126905013333332
273,1,Soldados identificados en Malvinas,0.0771628875
272,1,Colegio Nacional de Buenos Aires,0.23298391662222223
271,1,Universidad de Buenos Aires,0.23298391662222223
270,1,AMIA,0.23298391662222223
268,1,Mario Negri,0.2915360859681036
266,1,Federico Pinedo,0.2915360859681036
265,1,Hillary Clinton,0.4251348
22,1,Mauro Vigliano,0.2961342648222223
261,1,Monedas y billetes,0.23147013175000006
258,1,Mujeres líderes,0.30858161310924376
256,1,Mercado de pases,0.14894511333333335
