,usuarios,comments
183,Vamospormashasta,"Es un disparate q hace 30 años controles el Gremio de Camioneros y robes a 2 manos y no estes preso todavía Huguito...,"
184,guli1911,parece que se olvidaron los negocios que tenía y tiene Macri con moyano. ejemplo la recolección de basura.
185,ieroslav,"anda arreglando con los troskos y el partido obrero para que salgan a piqueter a favor del nene, ya los contrataste una vez, y ahora podés hasta hacer precio."
186,guli1911,no sabes ni lo que es un trosko
187,ieroslav,@guli1911 si vos lo decís......
188,guli1911,leo cómo deberías hacer vos
189,Mehid2016,El mismo discurso de todos los corruptos. Vaya a la justicia y pruebe su inocencia.
190,pancho56,El régimen macrista quiere a todos los opositores presos.
191,ieroslav,"@pancho56 a todos los chorros presos, y andá a repasar la tabla del 3,porque tu idea de ""régimen"" es como decir que estos malandras son ""inocentes""."
192,booger,SIIII y ya sabemos donde vives!! Jajajjaj KERNEROLO!!!
193,jromeo3,"Decir cualquier estupidez , no lo hace inocente a tu nene , tiene tu ADN "
194,ieroslav,"tenés razón huguito, la estamos pasando muy mal gracias a malandras como vos y tu familia. "
195,krocca,"Una de las diferencias entre la 'Ndrangheta, la Cosa Nostra o la Camorra y el sindicalismo peronista: las primeras tienen un código de ""omertá"", de silencio. Las nuestras se creen tan impunes que están en los medios permanentemente."
196,booger,"Moyano tiene razón, LA GENTE LA ESTA PASANDO MAL, MUUUUY MAL, pero Huguito, esto de tu hijo es un Bálsamo y ya nos sentimos un poquito mejor"
197,Seba_Uribarri,"Muy bueno Moyano, contate uno de gallegos ahora."
198,cbreitor1,"A MI ME DISTRAJO ESTO DE PABLO MOYANO.
FUI AL SUPER Y NI ME DI CUENTA LO QUE GASTE."
199,ToyzMKT,Lo de De Vido era un disparate del gobierno. Y sin embargo... 
