,cantidad,keyword,toxicity
822,1,La muerte de Alberto Nisman,0.15608707196
877,1,Las Leoncitas,0.16008371776923075
878,1,Acuerdo social,0.2812749313333333
879,1,Desarrollo económico,0.2812749313333333
1148,1,Sindicato de Camioneros,0.3108542506567163
1147,1,PROCELAC,0.3108542506567163
881,1,Pymes,0.20969021583333336
718,1,JJOO,0.12864087
882,1,"Eduardo ""Lalo"" Creus",0.23520235838095238
1146,1,Club Independiente,0.3108542506567163
1145,1,Causas judiciales,0.3108542506567163
885,1,Ni Una Menos,0.30839053121818183
886,1,Jardín de Infantes,0.32317968629411764
887,1,Maltrato infantil,0.32317968629411764
717,1,agenda,0.12864087
716,1,diésel,0.29669014
1144,1,Impuestos,0.123921612325641
888,1,San Isidro,0.32317968629411764
715,1,Berlín,0.29669014
1143,1,ajuste del gasto,0.123921612325641
1142,1,Acuerdo II con el FMI,0.123921612325641
889,1,Monseñor Oscar Arnulfo Romero,0.3201350307916667
890,1,Pablo VI,0.3201350307916667
891,1,Religión,0.3201350307916667
1149,1,UIF,0.3108542506567163
876,1,Hockey femenino,0.16008371776923075
1150,1,Intendentes bonaerenses,0.41726164050000003
868,1,Bavaria,0.74234444
860,1,Hungría,0.3162363397894737
861,1,Sin techo,0.3162363397894737
862,1,Viktor Orban,0.3162363397894737
1202,1,Soledad Pastorutti,0.30500308666666665
863,1,Badri Patarkatsishvili,0.2899396028362068
864,1,Boris Berezovsky,0.2899396028362068
865,1,Inglaterra,0.2899396028362068
866,1,Nikolai Glushkov,0.2899396028362068
1155,1,Luis Majul,0.32081720631506844
1154,1,Puente,0.35401890806666664
869,1,César Menotti,0.2826339923165137
1151,1,Intendentes del PJ,0.41726164050000003
870,1,Jorge Sampaoli,0.2826339923165137
1203,1,costillas,0.3319588605679805
871,1,Selección de Argentina,0.2826339923165137
872,1,alejandro chori dominguez,0.096770853
873,1,Chori Domínguez,0.096770853
874,1,David Nalbandian,0.26598513375
1153,1,juan b. justo,0.35401890806666664
1152,1,Cortes,0.35401890806666664
719,1,Martín Palermo,0.21564038666666666
875,1,Rally Argentina 2018,0.26598513375
823,1,Ley de educación sexual,0.196967075
820,1,bandas cambiarias,0.034553352999999995
821,1,Diego Lagomarsino,0.15608707196
1186,1,Inmigración,0.3952797330588235
764,1,Nequi Galotti,0.334804528
735,1,Gabriela Michetti,0.06871937733333333
765,1,Delito,0.08037808
766,1,Malasia,0.08037808
767,1,pena de muerte,0.08037808
768,1,Asia,0.19863188
769,1,Bolsas,0.19863188
770,1,Hang Seng,0.19863188
771,1,Mercados,0.19863188
772,1,Nikkei,0.19863188
773,1,Wall Street,0.19863188
774,1,Marine Le Pen,0.18256189
775,1,amor a primera vista,0.12393895371428573
776,1,Pity Martínez,0.12393895371428573
1191,1,Puente Juan B. Justo,0.68501421
1190,1,avenida córdoba,0.68501421
777,1,Chiristine Lagarde,0.24654481405645165
778,1,Deuda,0.1717296708181818
1189,1,enfrentamiento,0.23919510298481017
734,1,Cueva Tailandia,0.06871937733333333
1188,1,Boulogne,0.23919510298481017
780,1,Pyme,0.15316785500000002
1187,1,banda narco,0.23919510298481017
763,1,Pamela David,0.2885944993770491
762,1,Mercado Libre,0.24020575933163282
1192,1,Avellaneda,0.32873321123125016
750,1,Transporte,0.13942337
742,1,#MeToo,0.24930865
743,1,Bollywood,0.24930865
744,1,Hollywood,0.24930865
745,1,Masters 1000 de Shanghai,0.05148923
746,1,Lisandro López,0.077444065
739,1,turismo,0.10328971133333335
738,1,Santa Cruz,0.10328971133333335
737,1,Fundación Flora y Fauna,0.10328971133333335
748,1,Diego Latorre,0.26034810274747466
749,1,Oscar Ruggeri,0.26034810274747466
1196,1,Asociación Marianne,0.2833603058965518
1193,1,Día de la Lealtad,0.32873321123125016
752,1,Aumento retroactivo del gas,0.28972876323076924
753,1,Netflix,0.2722779926452228
1195,1,Marcha peronista,0.32873321123125016
