,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
54164,False,22:34 18/10/2018,4.0,746,0.0,"El ""cantri"" de los cimarrones tipo Milagro Sala ",https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,nesfer24,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,0.038291395,0.08314334599999999,48,40
54154,True,22:38 18/10/2018,4.0,746,0.0,@laperorata reflejo de pardo limítrofe alimentado a planes sociales.,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,nnotengo,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,0.027070213,0.06773227,68,60
617,True,06:56 25/09/2018,1.0,21,0.0,@sacapunta El problema con Argentina es que hay demasiada sangre aborigen !,https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,daniel_camara,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,,,75,64
2375,True,23:53 24/09/2018,4.0,25,5.0,"@etacarinae88 El humo de cimarron achicharrado , es toxico ",https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,ricardomanantial,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,,,59,50
2378,True,23:55 24/09/2018,2.0,25,0.0,@etacarinae88 @ricardomanantial Yo pensaba con los cimarrones dentro,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,ricardomanantial,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,,,68,61
2407,False,23:47 24/09/2018,4.0,25,0.0,"94 millones Maximosin hacer nada, jajajajaja podria donar algo a los cimarrones de la plaza no?",https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,ghriva,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,,,95,80
2408,False,23:47 24/09/2018,4.0,25,1.0,Quieren dos cimarrones como Kosteki y Santllan ,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,ricardomanantial,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,,,47,40
2945,False,22:04 24/09/2018,4.0,25,0.0,Estas bestias son guerrilleros terrorristas y las autoridades deberian de actuar y aplicar toda la ley a full.  ,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,arusany,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,,,112,93
5196,True,02:07 28/09/2018,1.0,98,0.0,Claro vota al macrismo que va dejar 30millones de pobres. De donde salen ustedes? Del Newman salen tan bestias?,https://www.lanacion.com.ar/2176195-el-gobierno-elimina-aranceles-importacion-productos-tecnologicos,sebastian877,,Economía,El Gobierno elimina aranceles para la importación de productos tecnológicos,,,111,93
9003,True,23:41 28/09/2018,2.0,142,0.0,"prefiero pagarte un plan a darte un trabajo, asi me aseguro que siempre estes bajo la suela pardo...",https://www.lanacion.com.ar/2176637-mauricio-macri-critico-agresiones-recibio-pareja-visito,TheDuke2009,,Política,Mauricio Macri criticó las agresiones que recibió una pareja a la que visitó en Machwitz,,,100,83
13517,False,00:37 01/10/2018,1.0,206,0.0,si igual los marrones nos cortan a diario las calles...,https://www.lanacion.com.ar/2177138-a-partir-manana-buenos-aires-estara-sitiada,rosa4427,Fernando J. de Aróstegui,Sociedad,"Circular, una odisea en Buenos Aires por los cortes para los juegos olímpicos",,,55,46
