,fecha,likes,respuestas,texto,usuario,es_respuesta,seccion,titulo,url
44158,09:27 13/10/2018,1.0,1,"""Balacera"". Término foráneo adoptado por algunos periodistas para referirse a un intercambio de disparos entre la Policía y un delincuente. Al final de la nota dice que el malviviente ""obtuvo"" al menos dos balazos y quedó detenido.",xeneizealpalo,False,Sociedad,Un delincuente robó un auto en Mataderos y generó una balacera frente a la Facultad de Medicina de la UBA,https://www.lanacion.com.ar/2181343-un-delincuente-robo-auto-mataderos-genero-balacera
44161,09:05 13/10/2018,9.0,0,excelente policía!! pero siempre hay que rematarlos!!! justicia ilegítima los devolverá a la calle otra vez!!,ivanceltic,False,Sociedad,Un delincuente robó un auto en Mataderos y generó una balacera frente a la Facultad de Medicina de la UBA,https://www.lanacion.com.ar/2181343-un-delincuente-robo-auto-mataderos-genero-balacera
44202,23:29 12/10/2018,5.0,1,"""El delincuente obtuvo dos balazos"", quien redacta, Baradel?",carlos_blazquiz,False,Sociedad,Un delincuente robó un auto en Mataderos y generó una balacera frente a la Facultad de Medicina de la UBA,https://www.lanacion.com.ar/2181343-un-delincuente-robo-auto-mataderos-genero-balacera
44219,22:22 12/10/2018,8.0,2,"El delincuente ""obtuvo"" dos balazos. Para poner ""obtuvo"" era mejor ""ligó"".",juanalacuerda,False,Sociedad,Un delincuente robó un auto en Mataderos y generó una balacera frente a la Facultad de Medicina de la UBA,https://www.lanacion.com.ar/2181343-un-delincuente-robo-auto-mataderos-genero-balacera
44233,21:46 12/10/2018,5.0,0,"Merecía más de dos balazos, la sacó barata. ",jorgekostoff,False,Sociedad,Un delincuente robó un auto en Mataderos y generó una balacera frente a la Facultad de Medicina de la UBA,https://www.lanacion.com.ar/2181343-un-delincuente-robo-auto-mataderos-genero-balacera
47210,21:33 15/10/2018,4.0,0,Hay que volver a la vieja y noble  tradición de la pena de muerte,ermindogranero,False,El Mundo,Cada vez más cerca: Bolsonaro mantiene una amplia ventaja de cara al ballottage,https://www.lanacion.com.ar/2181983-cada-vez-mas-cerca-bolsonaro-mantiene-amplia
49335,16:50 15/10/2018,7.0,1,En EE.UU seria derecho pena de muerte para el ejecutor y perpetua (sin salida de por vida) para todos los complices. Aca cuando vamos a cambiar las leyes? Es muy complicado agarrar a tres asesinos? uno encima iba a Caballo?,nxxx,False,Sociedad,"Guernica: tenía 18 años, fue a bailar con amigos y delincuentes lo mataron a golpes",https://www.lanacion.com.ar/2181896-salio-bailar-lo-mataron-delicuentes-caballo
49414,19:24 16/10/2018,5.0,0,"Romero fue siempre un arquero de mediocre para abajo. Jamas sale, no retiene pelotas faciles. Es como jugar con uno menos.
Por algo es siempre suplente en el equipo donde juega.",rduaygues,False,Deportes,Lo que dejó Argentina-Brasil: la cantidad de patadas a Neymar y la explicación del gol de Miranda,https://www.lanacion.com.ar/2182282-argentina-brasil-todo-lo-dejo-clasico-sudamericano-arabia
51482,21:34 16/10/2018,,0,"Me levanto todos los dias a ver si alguien hizo volar en pedazos el congreso o si reventaron a balazos a por lo menos 10 politicos y nunca nada, siempre muere gente inocente, una pena.",sandro_cavasin,False,Política,Moyano celebró el fallo del juez y desafía ahora con paritarias de 42%,https://www.lanacion.com.ar/2182302-moyano-celebro-fallo-del-juez-desafia-ahora
51576,21:14 16/10/2018,2.0,0,@abelmonte4 coincido que a veces hace falta un rifle sanitario para terminar con estas especies de ladrones,fcab1,True,Política,Moyano celebró el fallo del juez y desafía ahora con paritarias de 42%,https://www.lanacion.com.ar/2182302-moyano-celebro-fallo-del-juez-desafia-ahora
51839,20:22 16/10/2018,2.0,0,esto se arreglaría con un rifle sanitario,fcab1,False,Política,Moyano celebró el fallo del juez y desafía ahora con paritarias de 42%,https://www.lanacion.com.ar/2182302-moyano-celebro-fallo-del-juez-desafia-ahora
54776,18:23 17/10/2018,,0,@gguasoncito1 @fper7709 Si. Hay que aplicar el rifle sanitario.,jstaffa holtmann,True,Política,"Con críticas al Gobierno y llamados a la unidad, el peronismo festeja dividido el Día de la Lealtad",https://www.lanacion.com.ar/2182602-dividido-peronismo-festeja-dia-lealtad-actos-masivos
55390,22:01 18/10/2018,,4,"Lo Vi... estuvieron mal los chicos claramente pero no hay que darle demasiada trascendencia, no matarlos. La verdad es que hay que contextualizar la frustración de los chicos, como se dió el partido, de dónde venían (derrota con Brasil), la presión del local, lo que significa el fútbol y que tienen menos de 18 años... Deben aprender de sus errores y recaptizar, pero noto demasiada intolerancia en algunos comentarios.",Gramsci2,False,Deportes,Una derrota olímpica: el Futsal argentino no entendió el espíritu de los Juegos,https://www.lanacion.com.ar/2183071-una-derrota-olimpica-futsal-argentino-no-entendio
55622,15:10 18/10/2018,4.0,0,Matenlos a todos de una vez,oomartinez,False,El Mundo,Estado Islámico tiene 700 rehenes en Siria y amenaza con matar a diez por día,https://www.lanacion.com.ar/2182943-estado-islamico-tiene-700-rehenes-siria-amenaza
55927,17:51 18/10/2018,,1,"Que la devuelva y como ejemplo ejemplificador deberían de fusilarla,  dado que los parientes de todos los ladrones Argentinos se creen que se la van a llevar de arriba.",sogtulakk,False,Política,"Se complica la situación judicial de la viuda de Muñoz, el exsecretario de Kirchner",https://www.lanacion.com.ar/2182927-se-complica-situacion-judicial-viuda-munoz-exsecretario
55928,17:55 18/10/2018,1.0,0,"@sogtulakk QUE EXAGERADO FUSILARLA!!!, HABRIA QUE USAR EL METODO DE ARABIA SAUDI CORTARLE LAS MANOS, MALDITA PERRA CORRUPTA DISFRUTANDO DE LOS MILLONES QUE SE CHOREO EL MARIDO",dacameron,True,Política,"Se complica la situación judicial de la viuda de Muñoz, el exsecretario de Kirchner",https://www.lanacion.com.ar/2182927-se-complica-situacion-judicial-viuda-munoz-exsecretario
56975,22:54 18/10/2018,4.0,0,"Tenemos que mantener a las cucas y a los limìtrofes, no hay billetera que aguante, rifle sanitario ",nesfer24,False,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron
57012,22:47 18/10/2018,1.0,0,"@bcaballeropedrot
LO QUE NOS DAÑA ES QUE SUCEDA Y NO HAYA PENA DE MUERTE.",Mrce44,True,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron
57117,21:35 18/10/2018,3.0,0,"La unica que perdió fue la niña, los culpables tienen la suerte de estar acá...hasta la pueden sacar barata...que lástima que no tenemos pena de muerte , estos se la merecen con creces....",leoliam,False,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron
57261,20:40 18/10/2018,2.0,2,LA PENA DE MUERTE DISMINUYE EL ÍNDICE DE REINCIDENCIA.,jorgerai,False,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron
